Id;Name;PIW name;Religion;Culture;SizeModifier;Pashas;Climate;Ice?;Storm?;Galleys;Manpower;Income;Terrain;ToT-SPA;ToT-POR;HRE;Mine(1) ?;MineValue;Goods;Uprgadable;CoT Historical Modifier;Difficulty for Colonization;Native Combat Strength;Ferocity;Efficiency of Natives in combat;Negotiation Value for Trading Posts;Natives Tolerance value ;City XPos;City YPos;Army XPos;ArmyYPos;PortXPos;Port YPos;Manufactory XPos; Manufactory YPos;Port/sea Adjacency;Terrain x;Terrain Y;Terrain variant;Terrain x;Terrain Y;Terrain variant;Terrain x;Terrain Y;Terrain variant;Terrain x;Terrain Y;Terrain variant;Area;Region;Continent;;Extra River Desc Link 1;Extra River Desc Link 2;Extra River Desc Link 3;;Fill coord X;Fill coord Y;;;;;;;;;;;;;;;;
10;Sierra Madre;coastal;exotic;navajo;0;0;3;0;0;0;1;4;2;1;0;0;0;0;Wool;0;-3;4;5;1;1;1;3;2892;1864;2819;1747;2833;1854;2881;1764;897;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;California;North America;America;Sierra Madre;0;0;0;#N/A;2851;1764;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
11;San Bernardino;coastal;exotic;navajo;0;0;3;0;0;0;2;5;0;1;0;0;0;0;grai;0;-3;3;10;1;1;1;4;2963;1934;2981;1843;2919;1948;3016;1929;898;3056;1817;3;-100;-100;0;-100;-100;0;-100;-100;0;California;North America;America;San Bernardino;0;0;0;#N/A;3002;1858;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
12;Ensenada;coastal;exotic;navajo;0;0;1;0;0;0;1;1;2;1;0;0;0;0;fish;0;-3;8;5;1;1;5;3;3006;2124;3043;2179;2962;2098;3034;2044;898;3028;1984;0;3016;2014;4;3070;2214;0;-100;-100;0;Sonora;Central America;America;Ensenada;0;0;0;#N/A;3012;2065;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
13;Baja;coastal;exotic;navajo;0;0;1;0;0;0;1;1;2;1;0;0;0;0;fish;0;-3;8;5;1;1;5;2;3139;2415;3086;2295;3119;2479;3169;2496;899;3037;2277;4;3222;2548;0;-100;-100;0;-100;-100;0;Sonora;Central America;America;Baja;0;0;0;#N/A;3164;2465;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
14;Salton;inland;exotic;navajo;0;0;1;0;0;0;1;1;3;1;0;0;0;0;salt;0;-3;9;5;2;1;1;1;3146;1829;3311;1890;0;0;3235;1895;0;3259;1838;5;-100;-100;0;-100;-100;0;-100;-100;0;Nevada;North America;America;Salton;0;0;0;#N/A;3206;1824;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
15;Altar;inland;exotic;navajo;0;0;1;0;0;0;1;1;3;1;0;0;0;0;wool;0;-3;9;5;1;1;5;5;3102;1959;3208;2069;0;0;3137;2026;0;3147;1917;4;3172;1907;7;3173;1927;0;3209;2110;2;Sonora;Central America;America;Altar;0;0;0;#N/A;3171;2023;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
16;Canyon;inland;exotic;navajo;0;0;1;0;0;0;1;1;3;1;0;0;0;0;wool;0;-3;9;5;2;1;1;7;3265;1979;3336;2069;0;0;3281;2094;0;3327;2108;1;3300;1943;0;3375;2019;1;3387;1999;2;Nevada;North America;America;Canyon;0;0;0;#N/A;3320;2033;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
17;Empalme;inland;exotic;navajo;0;0;1;0;0;0;1;1;3;1;0;0;0;0;wool;0;-3;9;5;1;1;5;7;3253;2262;3339;2263;0;0;3294;2304;0;3187;2167;1;3205;2167;3;3195;2191;4;-100;-100;0;Sonora;Central America;America;Empalme;0;0;0;#N/A;3292;2239;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
18;Arizona;inland;exotic;navajo;0;0;1;0;0;0;1;1;2;1;0;0;0;0;wool;0;-3;9;5;2;1;1;9;3396;2188;3434;2109;0;0;3479;2154;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;Nevada;North America;America;Arizona;0;0;0;#N/A;3442;2160;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
19;Pinalero;inland;exotic;navajo;0;0;2;0;0;0;1;1;2;1;0;0;0;0;wool;0;-3;8;5;2;1;1;7;3585;2142;3549;2098;0;0;3608;2208;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;Nevada;North America;America;Pinalero;0;0;0;#N/A;3554;2127;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
20;Chihuahua;inland;exotic;navajo;0;0;1;0;0;0;1;1;3;1;0;0;0;0;wool;0;-3;7;5;1;1;5;8;3495;2374;3588;2384;0;0;3559;2257;0;3443;2272;0;3471;2274;2;3505;2410;3;3543;2417;7;Sonora;Central America;America;Chihuahua;0;0;0;#N/A;3541;2331;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
21;Mazatlan;coastal;exotic;navajo;0;0;1;0;0;0;1;1;2;1;0;0;0;0;grai;0;-3;7;5;1;1;5;5;3364;2506;3445;2483;3369;2558;3348;2371;900;3427;2513;5;3441;2543;0;3408;2371;0;-100;-100;0;Sonora;Central America;America;Mazatlan;0;0;0;#N/A;3395;2442;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
22;El Paso;inland;exotic;navajo;0;0;2;0;0;0;1;2;0;1;0;0;0;0;wool;0;-3;7;10;2;1;2;6;3774;2278;3708;2272;0;0;3726;2352;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;Nevada;North America;America;El Paso;0;0;0;#N/A;3726;2289;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
23;Coahuilha;inland;exotic;navajo;0;0;1;0;0;0;1;1;3;1;0;0;0;0;wool;0;-3;7;5;1;1;5;5;3850;2467;3664;2453;0;0;3790;2434;0;3723;2449;1;3742;2444;3;3581;2506;7;3600;2467;4;Sonora;Central America;America;Coahuilha;1382;0;0;#N/A;3664;2461;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
24;Jalisco;coastal;exotic;aztek;0;0;3;0;0;0;1;5;2;1;0;0;1;60;Gold;0;-3;3;50;0.5;0.1;5;5;3508;2630;3632;2686;3519;2697;3568;2676;901;3543;2575;0;3595;2582;1;3611;2716;3;-100;-100;0;Azteca;Central America;America;Jalisco;0;0;0;#N/A;3594;2649;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
25;Saltillo;inland;exotic;aztek;0;0;3;0;0;0;1;2;0;1;0;0;1;60;Gold;0;-3;6;20;1;1;7;7;3705;2634;3818;2658;0;0;3762;2667;0;3811;2527;3;3792;2702;2;-100;-100;0;-100;-100;0;Sonora;Central America;America;Saltillo;0;0;0;#N/A;3768;2622;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
26;Michoagan;coastal;exotic;aztek;0;0;3;0;0;0;3;7;2;1;0;0;1;80;Gold;0;-3;3;0;0.5;0.1;5;7;3575;2838;3756;2914;3555;2884;3632;2794;901;3676;2902;3;3682;2933;1;-100;-100;0;-100;-100;0;Azteca;Central America;America;Michoagan;0;0;0;#N/A;3694;2876;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
27;Zacatecas;inland;exotic;aztek;0;0;3;0;0;0;3;8;2;1;0;0;1;100;Gold;0;0;3;0;0;0;9;9;3818;2871;3884;2900;0;0;3814;2769;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;Azteca;Central America;America;Tenochtitlan;0;0;0;0;3845;2816;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
28;Tampico;coastal;exotic;aztek;0;0;3;0;0;0;2;3;0;1;0;0;0;0;sug;0;-2;6;35;1;1;7;5;3987;2669;3925;2705;4034;2647;3903;2576;902;3977;2731;5;-100;-100;0;-100;-100;0;-100;-100;0;Sonora;Central America;America;Tampico;0;0;0;#N/A;3942;2650;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
29;Tlaxcala;coastal;exotic;zapotek;0;0;6;0;0;0;2;5;0;1;0;0;0;0;sug;1;-3;4;0;0.5;0.1;4;8;4003;2834;4059;2937;4048;2836;3966;2927;902;4053;2997;2;-100;-100;0;-100;-100;0;-100;-100;0;Azteca;Central America;America;Tuxpan;0;0;0;#N/A;4009;2907;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
30;Atlixco;coastal;exotic;zapotek;0;0;6;0;0;0;1;5;0;1;0;0;0;0;fish;0;-3;4;0;0.5;0.1;3;2;3898;3050;3960;3038;3882;3098;3807;3008;962;3974;3072;0;-100;-100;0;-100;-100;0;-100;-100;0;Azteca;Central America;America;Atlixco;0;0;0;#N/A;3890;3031;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
31;Tehuantepec;coastal;exotic;zapotek;0;0;6;0;0;0;1;3;2;1;0;0;0;0;grai;0;-3;3;0;0.5;0.1;7;8;4060;3127;4224;3112;4093;3149;4117;3086;963;4097;3038;0;-100;-100;0;-100;-100;0;-100;-100;0;Azteca;Central America;America;Tehuantepec;0;0;0;#N/A;4081;3073;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
32;Tehuacan;coastal;exotic;mayan;0;0;6;0;0;0;1;5;4;1;0;0;0;0;sug;0;-3;5;50;0.5;0.1;2;8;4214;2990;4151;3006;4238;2951;4258;3006;903;4298;2987;0;-100;-100;0;-100;-100;0;-100;-100;0;Azteca;Central America;America;Tehuacan;0;0;0;#N/A;4218;2999;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
33;Guatemala;coastal;exotic;mayan;0;0;6;0;0;0;1;3;2;1;0;0;0;0;coffee;0;-3;4;25;1;1;6;5;4288;3189;4368;3171;4260;3232;4322;3147;963;4320;3099;2;4361;3103;1;4404;3143;0;-100;-100;0;Costa Rica;Central America;America;Guatemala;0;0;0;#N/A;4336;3146;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
34;Campeche;coastal;exotic;mayan;0;0;6;0;0;0;1;4;4;1;0;0;0;0;sug;1;-1;6;25;1;1;6;5;4359;3033;4472;3075;4335;2964;4416;3056;903;4457;3106;5;4426;2945;1;4425;2969;2;-100;-100;0;Costa Rica;Central America;America;Campeche;0;0;0;#N/A;4420;3020;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
35;Yucatan;coastal;exotic;mayan;0;0;6;0;0;0;1;2;1;1;0;0;0;0;fish;0;-3;7;15;1;1;2;6;4535;2882;4476;2871;4588;2887;4501;2942;964;4429;2862;2;4399;2896;1;4539;2945;0;-100;-100;0;Costa Rica;Central America;America;Mayapan;0;0;0;#N/A;4478;2882;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
36;Honduras;inland;exotic;mesoamerican;0;0;6;0;0;0;1;3;1;1;0;0;0;0;coffee;0;-3;5;35;1;1;6;5;4550;3169;4498;3209;0;0;4608;3208;0;4419;3242;3;4454;3216;4;-100;-100;0;-100;-100;0;Costa Rica;Central America;America;Honduras;0;0;0;#N/A;4531;3202;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
37;Nicaragua;inland;exotic;mesoamerican;0;0;6;0;0;0;1;3;4;1;0;0;0;0;coffee;0;-3;6;40;1;1;9;3;4750;3220;4701;3243;0;0;4708;3327;0;4696;3150;7;4700;3178;6;4750;3245;5;4664;3252;4;Costa Rica;Central America;America;Nicaragua;0;0;0;#N/A;4709;3238;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
38;Mosquitos;coastal;exotic;mesoamerican;0;0;6;0;0;0;1;1;4;1;0;0;0;0;NAVS;0;-3;7;20;1;1;9;8;4716;3425;4678;3442;4757;3439;4733;3516;1042;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;Panama;Central America;America;Mosquitos;0;0;0;#N/A;4704;3451;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
39;Isthmus;coastal;exotic;mesoamerican;0;0;6;0;0;0;1;2;4;1;0;0;0;0;fish;0;1;6;5;1;1;2;2;4886;3513;4837;3506;4899;3561;4968;3604;1039;4788;3544;4;4784;3580;4;-100;-100;0;-100;-100;0;Panama;Central America;America;Isthmus;0;0;0;#N/A;4890;3501;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
40;Pecos;inland;exotic;navajo;0;0;2;0;0;0;1;2;0;1;0;0;0;0;wool;0;-3;6;15;2;1;3;5;3897;2402;3856;2291;0;0;3966;2345;0;3926;2300;2;-100;-100;0;-100;-100;0;-100;-100;0;Texas;North America;America;Pecos;0;0;0;#N/A;3908;2320;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
41;Rio Grande;coastal;exotic;navajo;0;0;3;0;0;0;1;3;0;1;0;0;0;0;grai;0;-3;4;10;2;1;3;5;4074;2433;4025;2417;4085;2481;3988;2545;902;3939;2441;7;-100;-100;0;-100;-100;0;-100;-100;0;Texas;North America;America;Rio Grande;0;0;0;#N/A;3998;2464;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
42;Concho;inland;exotic;navajo;0;0;3;0;0;0;1;2;0;1;0;0;0;0;grai;0;-3;5;10;2;1;4;7;4031;2259;4111;2242;0;0;3980;2265;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;Texas;North America;America;Concho;0;0;0;#N/A;4046;2259;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
43;Matagorda;coastal;exotic;navajo;0;0;3;0;0;0;1;3;4;1;0;0;0;0;sug;0;-3;5;5;2;1;2;6;4252;2339;4172;2329;4272;2398;4105;2349;905;4252;2289;0;-100;-100;0;-100;-100;0;-100;-100;0;Texas;North America;America;Matagorda;0;0;0;#N/A;4194;2341;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
44;Wichita;inland;exotic;navajo;0;0;3;0;0;0;1;3;0;1;0;0;0;0;grai;0;-3;5;10;2;1;5;8;4222;2205;4296;2175;0;0;4169;2242;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;Texas;North America;America;Wichita;1383;0;0;#N/A;4236;2197;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
45;Bayou;coastal;exotic;navajo;0;0;3;0;0;0;1;5;4;1;0;0;0;0;Cot;0;0;6;10;1;1;1;3;4449;2383;4364;2223;4494;2415;4345;2332;905;4415;2233;1;4401;2319;2;4346;2248;3;-100;-100;0;Louisiane;North America;America;Bayou;0;0;0;#N/A;4375;2286;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
46;Biloxi;coastal;exotic;creek;0;0;3;0;0;0;1;5;4;1;0;0;0;0;Cot;0;-3;6;25;1;1;2;3;4573;2302;4503;2217;4545;2346;4471;2272;906;4552;2208;7;4525;2287;6;-100;-100;0;-100;-100;0;Louisiane;North America;America;Biloxi;1466;0;0;#N/A;4521;2251;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
47;Mobile;coastal;exotic;creek;0;0;3;0;0;0;1;5;4;1;0;0;0;0;Cot;0;0;4;20;2;1;7;8;4628;2284;4709;2269;4689;2367;4664;2243;906;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;Louisiane;North America;America;Mobile;0;0;0;#N/A;4664;2276;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
48;Talahassee;coastal;exotic;creek;0;0;3;0;0;0;1;4;4;1;0;0;0;0;Cot;0;-3;5;20;1;1;3;9;4767;2291;4810;2271;4802;2384;4755;2358;906;4818;2295;3;4786;2228;1;-100;-100;0;-100;-100;0;Florida;North America;America;Talahassee;1471;0;0;#N/A;4803;2286;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
49;Seminole;coastal;exotic;creek;0;0;3;0;0;0;1;2;4;1;0;0;0;0;sug;0;-3;7;25;3;1.2;5;9;4949;2421;4925;2358;4989;2416;4886;2393;908;4919;2427;4;4887;2477;1;-100;-100;0;-100;-100;0;Florida;North America;America;Seminole;0;0;0;#N/A;4920;2410;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
50;Everglades;coastal;exotic;creek;0;0;6;0;0;0;1;1;4;1;0;0;0;0;Furs;0;-3;8;40;3;1.2;8;9;4950;2651;4977;2562;4901;2636;4933;2537;1373;4966;2481;7;-100;-100;0;-100;-100;0;-100;-100;0;Florida;North America;America;Everglades;0;0;0;#N/A;4942;2553;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
51;Arkansas;inland;exotic;navajo;0;0;2;0;0;0;1;3;0;1;0;0;0;0;Cot;0;-3;5;15;2;1;4;7;4511;2043;4381;2060;0;0;4458;2074;0;4450;2004;6;-100;-100;0;-100;-100;0;-100;-100;0;Louisiane;North America;America;Arkansas;0;0;0;#N/A;4433;2056;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
52;Yazoo;inland;exotic;cherokee;0;0;5;0;0;0;1;4;1;0;0;0;0;0;Cot;0;-3;5;15;2;1;3;8;4624;2000;4602;2080;0;0;4528;2133;0;4580;2154;0;4558;2155;1;4646;1931;3;-100;-100;0;Louisiane;North America;America;Yazoo;0;0;0;#N/A;4578;2108;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
53;Tuscaloosa;inland;exotic;cherokee;0;0;3;0;0;0;2;4;1;0;0;0;0;0;Cot;0;-3;5;25;1;1;6;5;4674;2171;4724;2157;0;0;4612;2197;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;Louisiane;North America;America;Tuscaloosa;0;0;0;#N/A;4693;2166;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
54;Savannah;coastal;exotic;cherokee;0;0;3;0;0;0;2;5;4;1;0;0;0;0;Cot;0;0;5;15;1;1;4;3;4911;2215;4947;2181;4991;2271;4853;2188;908;4889;2140;2;-100;-100;0;-100;-100;0;-100;-100;0;Georgia;North America;America;Savannah;1385;0;0;#N/A;4918;2186;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
55;Alabama;inland;exotic;cherokee;0;0;5;0;0;0;2;4;2;0;0;0;0;0;Cot;0;-3;5;20;1;1;5;7;4900;2103;4873;2046;0;0;4786;2153;0;4817;2053;7;4842;2065;6;-100;-100;0;-100;-100;0;Georgia;North America;America;Echota;0;0;0;#N/A;4815;2085;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
56;Tennessee;inland;exotic;cherokee;0;0;5;0;0;0;2;3;1;0;0;0;0;0;grai;0;-3;6;25;1;1;3;8;4671;2084;4716;1982;0;0;4771;1977;0;4848;1917;0;4821;1935;1;4829;1966;2;4708;2051;5;Georgia;North America;America;Tennessee;0;0;0;#N/A;4750;1984;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
57;Mississippi;inland;exotic;mississippian;0;0;5;0;0;0;2;3;0;0;0;0;0;0;grai;0;-3;4;20;1;1;3;6;4459;1843;4552;1914;0;0;4370;1856;0;4469;1907;2;4292;1868;3;-100;-100;0;-100;-100;0;Louisiane;North America;America;Mississippi;0;0;0;#N/A;4491;1875;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
58;Missouri;inland;exotic;mississippian;0;0;7;0;0;0;2;3;0;0;0;0;0;0;grai;0;-3;6;15;2;1;3;7;4390;1654;4312;1745;0;0;4433;1750;0;4260;1770;2;-100;-100;0;-100;-100;0;-100;-100;0;Kansas;North America;America;Missouri;0;0;0;#N/A;4405;1678;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
59;Illinois;inland;exotic;mississippian;0;0;7;0;0;0;2;4;0;0;0;0;0;0;grai;0;-3;5;20;1;1;3;7;4680;1813;4580;1742;0;0;4564;1797;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;Illinois;North America;America;Illinois;1450;0;0;#N/A;4590;1803;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
60;Miamis;inland;exotic;shawnee;0;0;7;0;0;0;1;3;1;0;0;0;0;0;grai;0;-3;5;25;2;1;5;6;4772;1836;4826;1829;0;0;4713;1861;0;4807;1665;5;4816;1706;6;4831;1737;7;4813;1753;6;Illinois;North America;America;Miamis;0;0;0;#N/A;4775;1838;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
61;Alleghany;inland;exotic;cherokee;0;0;5;0;0;0;1;3;2;0;0;0;0;0;Furs;0;-3;6;15;2;1;6;9;4920;1978;4977;1998;0;0;5004;2077;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;America;North America;America;Alleghany;1386;1387;0;#N/A;4980;2008;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
62;Carolina;coastal;exotic;creek;0;0;2;0;0;0;2;5;1;0;0;0;0;0;Cot;0;0;5;20;2;1;7;7;5040;2176;5058;2098;5093;2173;5004;2160;908;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;America;North America;America;Carolina;0;0;0;#N/A;5039;2142;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
63;Santee;coastal;exotic;creek;0;0;2;0;0;0;2;4;1;0;0;0;0;0;Cot;0;-3;5;10;2;1;5;5;5154;2063;5118;2025;5176;2112;5102;2058;909;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;America;North America;America;Santee;0;0;0;#N/A;5123;2051;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
